"TIME","GEO","UNIT","ISCEDF13","ISCED11","SEX","Value","Flag and Footnotes"
"2012","Liechtenstein","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Liechtenstein","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Liechtenstein","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Liechtenstein","Number","Total","Master's or equivalent level","Total",":",""
"2012","Liechtenstein","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Liechtenstein","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Liechtenstein","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Master's or equivalent level","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","United Kingdom","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","United Kingdom","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","United Kingdom","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","United Kingdom","Number","Total","Master's or equivalent level","Total",":",""
"2012","United Kingdom","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","United Kingdom","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","United Kingdom","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Montenegro","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Montenegro","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Montenegro","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Montenegro","Number","Total","Master's or equivalent level","Total",":",""
"2012","Montenegro","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Montenegro","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Montenegro","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Bosnia and Herzegovina","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Bosnia and Herzegovina","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Bosnia and Herzegovina","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Bosnia and Herzegovina","Number","Total","Master's or equivalent level","Total",":",""
"2012","Bosnia and Herzegovina","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Bosnia and Herzegovina","Number","Total","Master's or equivalent level - professional","Total",":",""
